title,artist
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
Anti-Hero,Taylor Swift
Unholy,Sam Smith & Kim Petras
People Get Ready,Jeff Beck & Rod Stewart
wait in the truck,HARDY & Lainey Wilson
Son Of A Sinner,Jelly Roll
Made You Look,Meghan Trainor
Thought You Should Know,Morgan Wallen
Heart Like A Truck,Lainey Wilson
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Temperature,Sean Paul
Separate Ways (Worlds Apart) [feat. Lzzy Hale],Daughtry
Thank God,Kane Brown & Katelyn Brown
I'm Good (Blue),David Guetta & Bebe Rexha
I Ain't Worried,OneRepublic
Something in the Orange (Z&E's Version),Zach Bryan
Hurts to Love You,Nick Carter
Unstoppable,Sia
Rock and a Hard Place,Bailey Zimmerman
Bloody Mary,Lady Gaga
You Proof,Morgan Wallen
Calm Down,Rema & Selena Gomez
One Thing At A Time,Morgan Wallen
Igloo,"French Montana, DJ Drama & Rob49"
I Ain't a Bitch,Alaura Lynne
RZA,"French Montana, DJ Drama & Benny the Butcher"
As It Was,Harry Styles
New Punani,"French Montana, DJ Drama & Cheeze"
Free Smoke (feat. BIG30),"French Montana, DJ Drama & EST Gee"
The Oath,"Chinx, DJ Drama & French Montana"
Forever,"French Montana, DJ Drama & Mr.Chicken"
Addicted to You,"French Montana, DJ Drama & Cheeze"
Choose You,"French Montana, DJ Drama & Jeremih"
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Freeway Jam,Jeff Beck
Intro (feat. Cheeze),"French Montana, Stove God Cooks & DJ Drama"
Can't Stop Won't Stop (Remix) [feat. Kodak Black],"King Combs, French Montana & DJ Drama"
Not So Bad,French Montana & DJ Drama
Chit Chat (feat. DJ Drama),"French Montana, Smooky MarGielaa & A$AP Rocky"
Players,Coi Leray
Project Baby (Remix),"Vory, DJ Drama & French Montana"
Wasted On You,Morgan Wallen
"Going, Going, Gone",Luke Combs
golden hour,JVKE
Gratitude,Brandon Lake
Kill Bill,SZA
The Kind of Love We Make,Luke Combs
Hold Me Closer,Elton John & Britney Spears
Fall In Love,Bailey Zimmerman
What My World Spins Around,Jordan Davis
Mine,Bazzi
Hold My Hand,Lady Gaga
Cause We've Ended As Lovers,Jeff Beck
Cooler Than Me (Single Mix),Mike Posner
Ghost,Tom MacDonald
Under the Influence,Chris Brown
CUFF IT,Beyoncé
I'm Good (Blue),David Guetta & Bebe Rexha
Heart Full of Soul (2015 Remaster),The Yardbirds
Wreckage,Nate Smith
Trench,FETISH
Bebe Dame,Fuerza Regida & Grupo Frontera
About Damn Time,Lizzo
NEED A FAVOR,Jelly Roll
Build a Boat,Colton Dixon
Victoria’s Secret,Jax
Going Yeezy,"French Montana, DJ Drama & Cheeze"
Tennessee Whiskey,Chris Stapleton
On Wat U On,Moneybagg Yo & GloRilla
Que Vuelvas,Carin Leon & Grupo Frontera
Tishomingo,Zach Bryan
She Had Me At Heads Carolina,Cole Swindell
Daydream,Lily Meola
For Your Love,The Yardbirds
Shivers,Ed Sheeran
It's a Beautiful Day (Reprise),The Kiffness & Rushawn
Million Dollar Baby,Ava Max
No Horse To Ride,Luke Grimes
Something in the Orange,Zach Bryan
Die For You,The Weeknd
Tennessee Orange,Megan Moroney
Chasin' You,Morgan Wallen
How Do I Say Goodbye,Dean Lewis
Forget Me,Lewis Capaldi
Beck's Bolero,Jeff Beck
Goodness of God (Live),CeCe Winans
Handle On You,Parker McCollum
Way of the Triune God (Hallelujah Version),Tyler Childers
Goo Goo Muck,The Cramps
Just Wanna Rock,Lil Uzi Vert
Sure Thing,Miguel
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Run Away to Mars,TALK
Until I Found You,Stephen Sanchez
Sober,P!nk
Watermelon Moonshine,Lainey Wilson
Hey There Delilah,Plain White T's
What He Didn't Do,Carly Pearce
Rich Flex,Drake & 21 Savage
God Is In This Story,Katy Nichole & Big Daddy Weave
